Year,Type,Count,TotalPct,WhitePct,BlackPct,date
1926,Federal,5010,100,81,13,1975-04-11
1927,Federal,5021,100,84,14,1975-04-12
1928,Federal,5570,100,-,-,1975-04-13
1929,Federal,9734,100,86,12,1975-04-14
1930,Federal,9800,100,86,12,1975-04-15
1931,Federal,10615,100,87,11,1975-04-16
1932,Federal,9652,100,88,10,1975-04-17
1933,Federal,8333,100,88,10,1975-04-18
1934,Federal,9275,100,87,11,1975-04-19
1935,Federal,11837,100,84,14,1975-04-20
1936,Federal,11459,100,80,17,1975-04-21
1937,Federal,10342,100,80,18,1975-04-22
1938,Federal,11664,100,78,20,1975-04-23
1939,Federal,11108,100,76,21,1975-04-24
1940,Federal,12621,100,75,23,1975-04-25
1941,Federal,12586,100,74,24,1975-04-26
1942,Federal,12112,100,76,22,1975-04-27
1943,Federal,10736,100,78,20,1975-04-28
1944,Federal,12417,100,76,21,1975-04-29
1945,Federal,11831,100,74,24,1975-04-30
1946,Federal,12753,100,73,25,1975-05-01
1947,Federal,10415,100,75,23,1975-05-02
1948,Federal,9935,100,76,22,1975-05-03
1949,Federal,10429,100,74,24,1975-05-04
1950,Federal,11492,100,70,28,1975-05-05
1960,Federal,14833,100,71,25,1975-05-15
1964,Federal,13220,100,73,25,1975-05-19
1970,Federal,11060,100,73,27,1975-05-25
1974,Federal,15181,100,71,29,1975-05-29
1975,Federal,16555,100,70,30,1975-05-30
1976,Federal,18711,100,71,29,1975-05-31
1977,Federal,18160,100,70,30,1975-06-01
1978,Federal,18485,100,69,31,1975-06-02
1979,Federal,15293,100,73,27,1975-06-03
1980,Federal,17383,100,73,27,1975-06-04
1981,Federal,14400,100,74,26,1975-06-05
1982,Federal,17226,100,75,25,1975-06-06
1983,Federal,18987,100,76,24,1975-06-07
1984,Federal,18541,100,77,23,1975-06-08
1985,Federal,19881,100,76,24,1975-06-09
1986,Federal,16295,100,77,21,1975-06-10
